,states,abbreviation
0,Alabama,AL
1,Alaska,AK
2,American Samoa,AS
3,Arizona,AZ
4,Arkansas,AR
5,California,CA
6,Colorado,CO
7,Connecticut,CT
8,Delaware,DE
9,District Of Columbia,DC
10,Federated States Of Micronesia,FM
11,Florida,FL
12,Georgia,GA
13,Guam,GU
14,Hawaii,HI
15,Idaho,ID
16,Illinois,IL
17,Indiana,IN
18,Iowa,IA
19,Kansas,KS
20,Kentucky,KY
21,Louisiana,LA
22,Maine,ME
23,Marshall Islands,MH
24,Maryland,MD
25,Massachusetts,MA
26,Michigan,MI
27,Minnesota,MN
28,Mississippi,MS
29,Missouri,MO
30,Montana,MT
31,Nebraska,NE
32,Nevada,NV
33,New Hampshire,NH
34,New Jersey,NJ
35,New Mexico,NM
36,New York,NY
37,North Carolina,NC
38,North Dakota,ND
39,Northern Mariana Islands,MP
40,Ohio,OH
41,Oklahoma,OK
42,Oregon,OR
43,Palau,PW
44,Pennsylvania,PA
45,Puerto Rico,PR
46,Rhode Island,RI
47,South Carolina,SC
48,South Dakota,SD
49,Tennessee,TN
50,Texas,TX
51,Utah,UT
52,Vermont,VT
53,Virgin Islands,VI
54,Virginia,VA
55,Washington,WA
56,West Virginia,WV
57,Wisconsin,WI
58,Wyoming,WY
